127.0.0.1 - - [26/Oct/2020:13:20:20 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:20:23 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:20:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:21:02 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:21:52 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:21:52 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:21:52 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:21:52 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:21:52 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:22:52 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:23:08 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:23:19 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:23:19 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [26/Oct/2020:13:24:05 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3390
