127.0.0.1 - - [07/Nov/2020:21:49:34 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:49:35 +0530] "GET /OnlineBookStore_012113/header.jsp HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:49:51 +0530] "GET /OnlineBookStore_012113/header.jsp HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:11 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:12 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8911
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:12 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:12 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:12 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:12 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:12 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:29 +0530] "GET /OnlineBookStore_012113/CartServlet?bookid=4&process=addToCart HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:50:51 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:00 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:05 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:15 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 9192
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:15 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:15 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:15 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:15 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:15 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:19 +0530] "GET /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:19 +0530] "GET /OnlineBookStore_012113/updateCust.jsp HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:35 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:42 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 9192
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:42 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:42 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:43 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:43 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:43 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:44 +0530] "GET /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:44 +0530] "GET /OnlineBookStore_012113/updateCust.jsp HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:47 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 9219
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:48 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:48 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:48 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
