127.0.0.1 - - [10/Dec/2020:16:33:32 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:33 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8911
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/images/templatemo_h1_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:33:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:34:57 +0530] "GET /OnlineBookStore_012113/BookServlet?process=viewBook&bookid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:34:57 +0530] "GET /OnlineBookStore_012113/ViewBook.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [10/Dec/2020:16:34:57 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
