127.0.0.1 - - [11/Jan/2021:23:28:03 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:04 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 200 5321
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 200 7949
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 200 81569
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/images/templatemo_h1_bg.jpg HTTP/1.1" 200 3583
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_01.jpg HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:07 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_02.jpg HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:10 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:19 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 9301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:21 +0530] "GET /OnlineBookStore_012113/CartServlet?bookid=4&process=addToCart HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:24 +0530] "GET /OnlineBookStore_012113/CartServlet?bookid=7&process=addToCart HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:24 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:24 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:24 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:24 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:24 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:26 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:26 +0530] "GET /OnlineBookStore_012113/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:30 +0530] "GET /OnlineBookStore_012113/CartServlet?cartid=55&process=deleteCart HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:35 +0530] "GET /OnlineBookStore_012113/CartServlet?bookid=4&process=addToCart HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:35 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:35 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:35 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:36 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:36 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/CartServlet?bookid=14&process=addToCart HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:40 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 5792
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:43 +0530] "POST /OnlineBookStore_012113/OrderServlet HTTP/1.1" 200 3438
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:46 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=myorderhistory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:46 +0530] "GET /OnlineBookStore_012113/MyOrderHistory.jsp HTTP/1.1" 200 3842
