127.0.0.1 - - [24/Feb/2021:13:31:17 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:18 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:19 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:19 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:21 +0530] "GET /OnlineBookStore_012113/addCustomer.jsp HTTP/1.1" 200 5549
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:31:54 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 5609
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:32:39 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 5609
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:13 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:17 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:20 +0530] "GET /OnlineBookStore_012113/addCustomer.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:21 +0530] "GET /OnlineBookStore_012113/addCustomer.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:25 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:25 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:25 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:25 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:25 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:25 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:26 +0530] "GET /OnlineBookStore_012113/addCustomer.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:37:44 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [24/Feb/2021:20:45:35 +0530] "POST /MumbaiFreshSeaFood/FishServlet HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [24/Feb/2021:20:46:05 +0530] "GET /MumbaiFreshSeaFood/AddFish.jsp HTTP/1.1" 404 1052
