127.0.0.1 - - [20/Apr/2021:20:49:46 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:46 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 200 5321
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 48420
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 200 7949
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 200 81569
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/images/templatemo_h1_bg.jpg HTTP/1.1" 200 3583
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=21 HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_02.jpg HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:49:47 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_01.jpg HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:20 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:20 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:20 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:20 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 48420
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:20 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:20 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:20 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:20 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=21 HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:21 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:21 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 48420
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [20/Apr/2021:20:50:21 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=21 HTTP/1.1" 200 5490
